codeClean,codeDisinf,codeEcon,codeElev,codeEmgr,codeFalarm,codeGarbage,codeMgr,codeNet,codeSec,codeStr,codeWsupply,convenientFacility,disposalType,educationFacility,kaptCcompany,kaptCode,kaptMgrCnt,kaptName,kaptdCccnt,kaptdClcnt,kaptdDcnt,kaptdEcapa,kaptdEcnt,kaptdPcnt,kaptdPcntu,kaptdScnt,kaptdSecCom,kaptdWtimebus,kaptdWtimesub,subwayLine,subwayStation,welfareFacility
위탁관리,위탁관리,단일계약,위탁관리,위탁선임,P형,,위탁관리(직영+위탁),,위탁관리,철근콘크리트구조,부스타방식,관공서(영등포경찰서) 병원(한성의원가정의학과) 공원(당산공원),,초등학교(영중초),,A15072002,3,당산SHVILLE,29,2,4,327,5,215,0,2,승학,5~10분이내,5분이내,"2호선, 5호선",영등포구청,노인정
,,,,,,,기타,,,,,,,,유원종합관리(주),A10024834,,당산금호2차어울림아파트,,,,,,,,,,,,,,
위탁관리,위탁관리,단일계약,위탁관리,상주선임,P형,거점장비수거방식,자치관리,무,위탁관리,철근콘크리트구조,부스타방식,관공서(영등포경찰서) 병원(명이비인후과) 대형상가(롯데마트),"도포식,분무식,기구부착식",초등학교(당서) 중학교(당산서) 고등학교(선유고등학교),,A15004406,6,당산현대3차,79,5,4,1600,15,263,37,8,승학,5~10분이내,5~10분이내,"2호선, 5호선, 9호선",영등포구청,"관리사무소, 노인정, 어린이놀이터"
위탁관리,위탁관리,종합계약,위탁관리,상주선임,R형,거점장비수거방식,위탁관리,무,위탁관리,철근콘크리트구조,부스타방식,관공서(영등포경찰서) 병원(박경웅의원) 대형상가(롯데마트),"도포식,분무식,기구부착식,독이식",초등학교(당서) 중학교(당산서),대한종합관리(주),A15080507,8,당산현대5차,96,10,12,2750,69,55,1085,14,(주)승학,5~10분이내,5~10분이내,"2호선, 5호선, 9호선","영등포구청역, 당산역","관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 유치원, 커뮤니티공간, 자전거보관소"
위탁관리,위탁관리,단일계약,위탁관리,상주선임,P형,거점장비수거방식,위탁관리,,위탁관리,철근콘크리트구조,고가수조식,"관공서(영등포경찰서) 병원(박경웅의원,영등포병원) 백화점(롯데백화점) 대형상가(롯데빅마켓) 공원(남부근로청소년회관체육공원)",분무식,초등학교(당산) 중학교(당산서),남경종합관리(주),A15004403,4,당산금호어울림,50,3,12,1150,9,133,217,4,태림종합건설,5~10분이내,5~10분이내,"2호선, 5호선, 8호선",영등포구청,"관리사무소, 노인정, 어린이놀이터, 자전거보관소"
위탁관리,위탁관리,단일계약,위탁관리,위탁선임,R형,거점장비수거방식,위탁관리,무,위탁관리,철근콘크리트구조,고가수조식,"관공서(영등포경찰서,영등포구청) 병원(영등포병원) 대형상가(코스트코,빅마켓,홈플러스) 공원(당산공원)","도포식,분무식",초등학교(당서) 중학교(당산서),서림주택,A15004405,4,당산2차삼성,64,4,12,900,7,59,329,6,(주)경진이엔지,5~10분이내,5~10분이내,"2호선, 5호선",영등포구청,"관리사무소, 노인정, 어린이놀이터, 자전거보관소"
위탁관리,위탁관리,단일계약,위탁관리,위탁선임,P형,음식물쓰레기종량제,위탁관리,,위탁관리,철근콘크리트구조,고가수조식,관공서(영등포경찰서) 병원(당산치과의원) 대형상가(롯데마트) 공원(남부근로청소년회관체육공원),"도포식,분무식",초등학교(당서) 중학교(당산서),우리관리(주),A15080501,4,한강아파트,31,2,12,1160,6,76,217,4,삼우안전관리,5분이내,5~10분이내,"2호선, 5호선, 9호선",영등포구청,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소"
위탁관리,위탁관리,종합계약,위탁관리,상주선임,R형,음식물쓰레기종량제,위탁관리,,위탁관리,철근콘크리트구조,부스타방식,관공서(영등포경찰서) 병원(영등포병원) 대형상가(롯데마트),"도포식,분무식",초등학교(영동) 중학교(당산서),주식회사 한빛종합관리,A15072201,5,당산반도유보라,110,4,12,2750,10,2,614,4,밝은티에스,5~10분이내,5~10분이내,"2호선, 5호선",영등포구청역,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소"
위탁관리,위탁관리,종합계약,위탁관리,위탁선임,R형,음식물쓰레기종량제,위탁관리,,위탁관리,철골철근콘크리트구조,부스타방식,,분무식,,(주)경진관리,A10027684,2,당산브라운스톤아파트,40,2,12,1254.5,6,23,162,2,경진관리,10~15분이내,10~15분이내,"2호선, 5호선",,"관리사무소, 노인정, 어린이놀이터, 자전거보관소"
위탁관리,위탁관리,종합계약,위탁관리,상주선임,GR형,기타,위탁관리,,위탁관리,철골철근콘크리트구조,부스타방식,"관공서(영등포구청, 영등포제2구민체육시설) 대형상가(VIC 마켓)",분무식,,에이제이대원 주식회사,A10026797,4,당산롯데캐슬프레스티지 아파트,124,3,6,1935,5,0,302,4,새롬씨큐리티(주),5~10분이내,5~10분이내,"2호선, 9호선",,"관리사무소, 노인정, 어린이놀이터, 자전거보관소, 기타"
위탁관리,위탁관리,단일계약,위탁관리,상주선임,GR형,음식물쓰레기종량제,위탁관리,유,위탁관리,철근콘크리트구조,부스타방식,"관공서(치안센터,파출소) 병원(김미경산부인과의원)",독이식,초등학교(당서) 중학교(당산서),(주)세안텍스,A15004507,11,당산삼성래미안,254,18,12,5000,32,71,2393,14,(주)세이프원,5분이내,5분이내,"2호선, 9호선",당산,"관리사무소, 노인정, 보육시설, 어린이놀이터, 자전거보관소"
위탁관리,위탁관리,단일계약,위탁관리,위탁선임,P형,음식물쓰레기종량제,위탁관리,유,위탁관리,철근콘크리트구조,부스타방식,"관공서(치안센터,파출소) 병원(남서울정형외과) 대형상가(롯데마트)","도포식,분무식,독이식",초등학교(당서) 중학교(당산서),율산개발 유한회사,A15004503,2,당산2차효성타운,74,2,6,950,9,85,216,8,이데아,5~10분이내,5~10분이내,"2호선, 9호선",당산,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소"
